subject,condition,component,amplitude,latency
M1_session_26__set_3_coilTap.h5,imagery,P180,2.7680614,161.2
M1_session_26__set_3_coilTap.h5,post,P30,0.0,20.0
M1_session_26__set_3_coilTap.h5,post,N45,0.0,35.0
M1_session_26__set_3_coilTap.h5,post,P60,0.0,50.0
M1_session_26__set_3_coilTap.h5,post,N100,0.0,80.0
M1_session_26__set_3_coilTap.h5,post,P180,0.0,150.0
M1_session_26__set_7_coilTpa.h5,pre,P30,1.666181,29.0
M1_session_26__set_7_coilTpa.h5,pre,N45,2.3582885,52.8
M1_session_26__set_7_coilTpa.h5,pre,P60,2.8710334,80.0
M1_session_26__set_7_coilTpa.h5,pre,N100,2.9803088,100.4
M1_session_26__set_7_coilTpa.h5,pre,P180,2.5422482,169.2
M1_session_26__set_7_coilTpa.h5,imagery,P30,1.9754208,29.2
M1_session_26__set_7_coilTpa.h5,imagery,N45,3.4434912,56.4
M1_session_26__set_7_coilTpa.h5,imagery,P60,3.4860492,77.6
M1_session_26__set_7_coilTpa.h5,imagery,N100,3.7383091,101.6
M1_session_26__set_7_coilTpa.h5,imagery,P180,2.3988373,165.8
M1_session_26__set_7_coilTpa.h5,post,P30,0.0,20.0
M1_session_26__set_7_coilTpa.h5,post,N45,0.0,35.0
M1_session_26__set_7_coilTpa.h5,post,P60,0.0,50.0
M1_session_26__set_7_coilTpa.h5,post,N100,0.0,80.0
M1_session_26__set_7_coilTpa.h5,post,P180,0.0,150.0
M1_session_26__set_8_coilqppa.h5,pre,P30,1.479926,40.0
M1_session_26__set_8_coilqppa.h5,pre,N45,3.0025299,50.0
M1_session_26__set_8_coilqppa.h5,pre,P60,3.0025299,50.0
M1_session_26__set_8_coilqppa.h5,pre,N100,2.8947208,115.2
M1_session_26__set_8_coilqppa.h5,pre,P180,4.746386,200.0
M1_session_26__set_8_coilqppa.h5,imagery,P30,1.9928708,29.2
M1_session_26__set_8_coilqppa.h5,imagery,N45,4.6793113,51.6
M1_session_26__set_8_coilqppa.h5,imagery,P60,4.6793113,51.6
M1_session_26__set_8_coilqppa.h5,imagery,N100,2.5986233,139.6
M1_session_26__set_8_coilqppa.h5,imagery,P180,3.2798822,190.2
M1_session_26__set_8_coilqppa.h5,post,P30,0.0,20.0
M1_session_26__set_8_coilqppa.h5,post,N45,0.0,35.0
M1_session_26__set_8_coilqppa.h5,post,P60,0.0,50.0
M1_session_26__set_8_coilqppa.h5,post,N100,0.0,80.0
M1_session_26__set_8_coilqppa.h5,post,P180,0.0,150.0
M1_session_26__set_9_coilTap.h5,pre,P30,1.8544333,40.0
M1_session_26__set_9_coilTap.h5,pre,N45,2.4452481,56.6
M1_session_26__set_9_coilTap.h5,pre,P60,2.4452481,56.6
M1_session_26__set_9_coilTap.h5,pre,N100,2.0080445,140.0
M1_session_26__set_9_coilTap.h5,pre,P180,4.084554,223.2
M1_session_26__set_9_coilTap.h5,imagery,P30,2.110235,34.8
M1_session_26__set_9_coilTap.h5,imagery,N45,3.513315,57.8
M1_session_26__set_9_coilTap.h5,imagery,P60,3.513315,57.8
M1_session_26__set_9_coilTap.h5,imagery,N100,2.36233,80.0
M1_session_26__set_9_coilTap.h5,imagery,P180,3.7630105,222.4
M1_session_26__set_9_coilTap.h5,post,P30,0.0,20.0
M1_session_26__set_9_coilTap.h5,post,N45,0.0,35.0
M1_session_26__set_9_coilTap.h5,post,P60,0.0,50.0
M1_session_26__set_9_coilTap.h5,post,N100,0.0,80.0
M1_session_26__set_9_coilTap.h5,post,P180,0.0,150.0
M1_session_27__set_1_coilqppa.h5,pre,P30,2.0033643,30.0
M1_session_27__set_1_coilqppa.h5,pre,N45,2.7009597,48.4
M1_session_27__set_1_coilqppa.h5,pre,P60,2.6500869,50.2
M1_session_27__set_1_coilqppa.h5,pre,N100,4.031721,99.6
M1_session_27__set_1_coilqppa.h5,pre,P180,2.1601784,228.4
M1_session_27__set_1_coilqppa.h5,imagery,P30,2.7966661,37.2
M1_session_27__set_1_coilqppa.h5,imagery,N45,2.8158536,50.4
M1_session_27__set_1_coilqppa.h5,imagery,P60,3.0160131,63.2
M1_session_27__set_1_coilqppa.h5,imagery,N100,4.0199056,93.4
M1_session_27__set_1_coilqppa.h5,imagery,P180,2.5109892,163.6
M1_session_27__set_1_coilqppa.h5,post,P30,0.0,20.0
M1_session_27__set_1_coilqppa.h5,post,N45,0.0,35.0
M1_session_27__set_1_coilqppa.h5,post,P60,0.0,50.0
M1_session_27__set_1_coilqppa.h5,post,N100,0.0,80.0
M1_session_27__set_1_coilqppa.h5,post,P180,0.0,150.0
M1_session_27__set_3_coilTap.h5,pre,P30,3.6442754,28.0
M1_session_27__set_3_coilTap.h5,pre,N45,3.5567195,54.8
M1_session_27__set_3_coilTap.h5,pre,P60,3.5567195,54.8
M1_session_27__set_3_coilTap.h5,pre,N100,3.7063575,86.6
M1_session_27__set_3_coilTap.h5,pre,P180,4.3607283,159.8
M1_session_27__set_3_coilTap.h5,imagery,P30,3.5521011,40.0
M1_session_27__set_3_coilTap.h5,imagery,N45,4.0382066,43.2
M1_session_27__set_3_coilTap.h5,imagery,P60,3.6508083,51.2
M1_session_27__set_3_coilTap.h5,imagery,N100,4.265387,113.8
M1_session_27__set_3_coilTap.h5,imagery,P180,3.0893192,172.0
M1_session_27__set_3_coilTap.h5,post,P30,0.0,20.0
M1_session_27__set_3_coilTap.h5,post,N45,0.0,35.0
M1_session_27__set_3_coilTap.h5,post,P60,0.0,50.0
M1_session_27__set_3_coilTap.h5,post,N100,0.0,80.0
M1_session_27__set_3_coilTap.h5,post,P180,0.0,150.0
M1_session_27__set_7_coilTpa.h5,pre,P30,2.3418143,36.6
M1_session_27__set_7_coilTpa.h5,pre,N45,2.8490417,51.6
M1_session_27__set_7_coilTpa.h5,pre,P60,2.8490417,51.6
M1_session_27__set_7_coilTpa.h5,pre,N100,2.8407533,119.2
M1_session_27__set_7_coilTpa.h5,pre,P180,2.350775,206.8
M1_session_27__set_7_coilTpa.h5,imagery,P30,2.6809578,26.0
M1_session_27__set_7_coilTpa.h5,imagery,N45,2.8746724,54.4
M1_session_27__set_7_coilTpa.h5,imagery,P60,3.0049908,66.2
M1_session_27__set_7_coilTpa.h5,imagery,N100,4.0695124,118.4
M1_session_27__set_7_coilTpa.h5,imagery,P180,3.0285094,165.8
M1_session_27__set_7_coilTpa.h5,post,P30,0.0,20.0
M1_session_27__set_7_coilTpa.h5,post,N45,0.0,35.0
M1_session_27__set_7_coilTpa.h5,post,P60,0.0,50.0
M1_session_27__set_7_coilTpa.h5,post,N100,0.0,80.0
M1_session_27__set_7_coilTpa.h5,post,P180,0.0,150.0
M1_session_27__set_8_coilTap.h5,pre,P30,2.6230361,40.0
M1_session_27__set_8_coilTap.h5,pre,N45,3.4284263,43.8
M1_session_27__set_8_coilTap.h5,pre,P60,3.2313766,80.0
M1_session_27__set_8_coilTap.h5,pre,N100,3.398693,82.6
M1_session_27__set_8_coilTap.h5,pre,P180,3.2805457,210.0
M1_session_27__set_8_coilTap.h5,imagery,P30,2.2566576,40.0
M1_session_27__set_8_coilTap.h5,imagery,N45,2.790736,52.4
M1_session_27__set_8_coilTap.h5,imagery,P60,3.211937,79.8
M1_session_27__set_8_coilTap.h5,imagery,N100,3.522147,101.0
M1_session_27__set_8_coilTap.h5,imagery,P180,3.1689875,165.0
M1_session_27__set_8_coilTap.h5,post,P30,0.0,20.0
M1_session_27__set_8_coilTap.h5,post,N45,0.0,35.0
M1_session_27__set_8_coilTap.h5,post,P60,0.0,50.0
M1_session_27__set_8_coilTap.h5,post,N100,0.0,80.0
M1_session_27__set_8_coilTap.h5,post,P180,0.0,150.0
M1_session_27__set_9_coilqppa.h5,pre,P30,3.138465,20.0
M1_session_27__set_9_coilqppa.h5,pre,N45,3.255944,43.4
M1_session_27__set_9_coilqppa.h5,pre,P60,2.220221,80.0
M1_session_27__set_9_coilqppa.h5,pre,N100,3.3860102,117.0
M1_session_27__set_9_coilqppa.h5,pre,P180,2.948483,194.6
M1_session_27__set_9_coilqppa.h5,imagery,P30,3.7340534,40.0
M1_session_27__set_9_coilqppa.h5,imagery,N45,3.8988335,42.4
M1_session_27__set_9_coilqppa.h5,imagery,P60,3.015387,75.6
M1_session_27__set_9_coilqppa.h5,imagery,N100,3.1699202,140.0
M1_session_27__set_9_coilqppa.h5,imagery,P180,3.7008033,191.6
M1_session_27__set_9_coilqppa.h5,post,P30,0.0,20.0
M1_session_27__set_9_coilqppa.h5,post,N45,0.0,35.0
M1_session_27__set_9_coilqppa.h5,post,P60,0.0,50.0
M1_session_27__set_9_coilqppa.h5,post,N100,0.0,80.0
M1_session_27__set_9_coilqppa.h5,post,P180,0.0,150.0
SMA_session_20__set_10_coil90deg.h5,pre,P30,3.3318882,22.6
SMA_session_20__set_10_coil90deg.h5,pre,N45,2.6119711,35.0
SMA_session_20__set_10_coil90deg.h5,pre,P60,2.7640967,80.0
SMA_session_20__set_10_coil90deg.h5,pre,N100,5.1114025,120.8
SMA_session_20__set_10_coil90deg.h5,pre,P180,3.287378,150.0
SMA_session_20__set_10_coil90deg.h5,imagery,P30,4.0315037,24.0
SMA_session_20__set_10_coil90deg.h5,imagery,N45,3.877808,40.6
SMA_session_20__set_10_coil90deg.h5,imagery,P60,3.4930694,68.8
SMA_session_20__set_10_coil90deg.h5,imagery,N100,4.9933305,119.6
SMA_session_20__set_10_coil90deg.h5,imagery,P180,3.4807675,220.4
SMA_session_20__set_10_coil90deg.h5,post,P30,0.0,20.0
SMA_session_20__set_10_coil90deg.h5,post,N45,0.0,35.0
SMA_session_20__set_10_coil90deg.h5,post,P60,0.0,50.0
SMA_session_20__set_10_coil90deg.h5,post,N100,0.0,80.0
SMA_session_20__set_10_coil90deg.h5,post,P180,0.0,150.0
SMA_session_20__set_4_coil0deg.h5,pre,P30,3.0118532,38.4
SMA_session_20__set_4_coil0deg.h5,pre,N45,3.1020129,49.2
SMA_session_20__set_4_coil0deg.h5,pre,P60,3.0505407,50.0
SMA_session_20__set_4_coil0deg.h5,pre,N100,3.3715286,107.6
SMA_session_20__set_4_coil0deg.h5,pre,P180,4.3672504,175.8
SMA_session_20__set_4_coil0deg.h5,imagery,P30,4.184077,40.0
SMA_session_20__set_4_coil0deg.h5,imagery,N45,5.1119065,49.8
SMA_session_20__set_4_coil0deg.h5,imagery,P60,5.0850534,50.0
SMA_session_20__set_4_coil0deg.h5,imagery,N100,3.5689573,123.4
SMA_session_20__set_4_coil0deg.h5,imagery,P180,4.48255,157.6
SMA_session_20__set_4_coil0deg.h5,post,P30,0.0,20.0
SMA_session_20__set_4_coil0deg.h5,post,N45,0.0,35.0
SMA_session_20__set_4_coil0deg.h5,post,P60,0.0,50.0
SMA_session_20__set_4_coil0deg.h5,post,N100,0.0,80.0
SMA_session_20__set_4_coil0deg.h5,post,P180,0.0,150.0
SMA_session_21__set_2_coil0deg.h5,pre,P30,3.188343,32.8
SMA_session_21__set_2_coil0deg.h5,pre,N45,3.1344585,35.6
SMA_session_21__set_2_coil0deg.h5,pre,P60,2.9658642,54.0
SMA_session_21__set_2_coil0deg.h5,pre,N100,3.7851443,113.8
SMA_session_21__set_2_coil0deg.h5,pre,P180,3.921573,196.0
SMA_session_21__set_2_coil0deg.h5,imagery,P30,2.3655493,38.0
SMA_session_21__set_2_coil0deg.h5,imagery,N45,2.3655493,38.0
SMA_session_21__set_2_coil0deg.h5,imagery,P60,2.3839264,70.4
SMA_session_21__set_2_coil0deg.h5,imagery,N100,3.2694902,134.4
SMA_session_21__set_2_coil0deg.h5,imagery,P180,3.1130252,162.4
SMA_session_21__set_2_coil0deg.h5,post,P30,0.0,20.0
SMA_session_21__set_2_coil0deg.h5,post,N45,0.0,35.0
SMA_session_21__set_2_coil0deg.h5,post,P60,0.0,50.0
SMA_session_21__set_2_coil0deg.h5,post,N100,0.0,80.0
SMA_session_21__set_2_coil0deg.h5,post,P180,0.0,150.0
SMA_session_21__set_5_coil90deg.h5,pre,P30,2.2356174,25.2
SMA_session_21__set_5_coil90deg.h5,pre,N45,2.3973792,60.0
SMA_session_21__set_5_coil90deg.h5,pre,P60,2.4818625,63.0
SMA_session_21__set_5_coil90deg.h5,pre,N100,2.6193528,113.4
SMA_session_21__set_5_coil90deg.h5,pre,P180,3.2413738,163.6
SMA_session_21__set_5_coil90deg.h5,imagery,P30,2.7428045,36.8
SMA_session_21__set_5_coil90deg.h5,imagery,N45,3.2130747,57.6
SMA_session_21__set_5_coil90deg.h5,imagery,P60,3.2130747,57.6
SMA_session_21__set_5_coil90deg.h5,imagery,N100,3.1461625,92.4
SMA_session_21__set_5_coil90deg.h5,imagery,P180,3.0473418,230.0
SMA_session_21__set_5_coil90deg.h5,post,P30,0.0,20.0
SMA_session_21__set_5_coil90deg.h5,post,N45,0.0,35.0
SMA_session_21__set_5_coil90deg.h5,post,P60,0.0,50.0
SMA_session_21__set_5_coil90deg.h5,post,N100,0.0,80.0
SMA_session_21__set_5_coil90deg.h5,post,P180,0.0,150.0
SMA_session_22__set_3_coil90deg.h5,pre,P30,2.4330807,20.0
SMA_session_22__set_3_coil90deg.h5,pre,N45,2.399098,47.8
SMA_session_22__set_3_coil90deg.h5,pre,P60,2.3798575,66.0
SMA_session_22__set_3_coil90deg.h5,pre,N100,3.3161654,118.0
SMA_session_22__set_3_coil90deg.h5,pre,P180,3.406886,187.6
SMA_session_22__set_3_coil90deg.h5,imagery,P30,2.6708214,20.4
SMA_session_22__set_3_coil90deg.h5,imagery,N45,3.421578,60.0
SMA_session_22__set_3_coil90deg.h5,imagery,P60,3.8003242,62.2
SMA_session_22__set_3_coil90deg.h5,imagery,N100,2.910254,103.2
SMA_session_22__set_3_coil90deg.h5,imagery,P180,3.5380855,185.2
SMA_session_22__set_3_coil90deg.h5,post,P30,0.0,20.0
SMA_session_22__set_3_coil90deg.h5,post,N45,0.0,35.0
SMA_session_22__set_3_coil90deg.h5,post,P60,0.0,50.0
SMA_session_22__set_3_coil90deg.h5,post,N100,0.0,80.0
SMA_session_22__set_3_coil90deg.h5,post,P180,0.0,150.0
SMA_session_22__set_4_coil0deg.h5,pre,P30,3.9163516,37.0
SMA_session_22__set_4_coil0deg.h5,pre,N45,3.9163516,37.0
SMA_session_22__set_4_coil0deg.h5,pre,P60,3.8972702,50.0
SMA_session_22__set_4_coil0deg.h5,pre,N100,3.8783646,133.2
SMA_session_22__set_4_coil0deg.h5,pre,P180,3.3073916,219.6
SMA_session_22__set_4_coil0deg.h5,imagery,P30,1.9721726,33.4
SMA_session_22__set_4_coil0deg.h5,imagery,N45,1.9265761,60.0
SMA_session_22__set_4_coil0deg.h5,imagery,P60,2.04933,78.8
SMA_session_22__set_4_coil0deg.h5,imagery,N100,2.7867806,140.0
SMA_session_22__set_4_coil0deg.h5,imagery,P180,3.0772843,150.4
SMA_session_22__set_4_coil0deg.h5,post,P30,0.0,20.0
SMA_session_22__set_4_coil0deg.h5,post,N45,0.0,35.0
SMA_session_22__set_4_coil0deg.h5,post,P60,0.0,50.0
SMA_session_22__set_4_coil0deg.h5,post,N100,0.0,80.0
SMA_session_22__set_4_coil0deg.h5,post,P180,0.0,150.0
SMA_session_23__set_4_coil90deg.h5,pre,P30,2.2464318,37.8
SMA_session_23__set_4_coil90deg.h5,pre,N45,2.2464318,37.8
SMA_session_23__set_4_coil90deg.h5,pre,P60,1.8571184,61.6
SMA_session_23__set_4_coil90deg.h5,pre,N100,2.7185507,137.8
SMA_session_23__set_4_coil90deg.h5,pre,P180,4.423233,218.4
SMA_session_23__set_4_coil90deg.h5,imagery,P30,2.1826186,26.8
SMA_session_23__set_4_coil90deg.h5,imagery,N45,2.7773628,51.4
SMA_session_23__set_4_coil90deg.h5,imagery,P60,3.0361168,74.2
SMA_session_23__set_4_coil90deg.h5,imagery,N100,2.744297,80.0
SMA_session_23__set_4_coil90deg.h5,imagery,P180,4.303154,230.0
SMA_session_23__set_4_coil90deg.h5,post,P30,0.0,20.0
SMA_session_23__set_4_coil90deg.h5,post,N45,0.0,35.0
SMA_session_23__set_4_coil90deg.h5,post,P60,0.0,50.0
SMA_session_23__set_4_coil90deg.h5,post,N100,0.0,80.0
SMA_session_23__set_4_coil90deg.h5,post,P180,0.0,150.0
SMA_session_23__set_5_coil0deg.h5,pre,P30,2.0583029,20.2
SMA_session_23__set_5_coil0deg.h5,pre,N45,2.0023298,43.6
SMA_session_23__set_5_coil0deg.h5,pre,P60,2.0809026,70.0
SMA_session_23__set_5_coil0deg.h5,pre,N100,2.1056585,140.0
SMA_session_23__set_5_coil0deg.h5,pre,P180,3.324684,217.2
SMA_session_23__set_5_coil0deg.h5,imagery,P30,1.7118584,24.2
SMA_session_23__set_5_coil0deg.h5,imagery,N45,1.9659581,52.8
SMA_session_23__set_5_coil0deg.h5,imagery,P60,1.9659581,52.8
SMA_session_23__set_5_coil0deg.h5,imagery,N100,2.758443,115.0
SMA_session_23__set_5_coil0deg.h5,imagery,P180,3.3780527,230.0
SMA_session_23__set_5_coil0deg.h5,post,P30,0.0,20.0
SMA_session_23__set_5_coil0deg.h5,post,N45,0.0,35.0
SMA_session_23__set_5_coil0deg.h5,post,P60,0.0,50.0
SMA_session_23__set_5_coil0deg.h5,post,N100,0.0,80.0
SMA_session_23__set_5_coil0deg.h5,post,P180,0.0,150.0
SMA_session_24__set_3_coil90deg.h5,pre,P30,2.4740531,28.6
SMA_session_24__set_3_coil90deg.h5,pre,N45,2.6454077,58.0
SMA_session_24__set_3_coil90deg.h5,pre,P60,2.6454077,58.0
SMA_session_24__set_3_coil90deg.h5,pre,N100,2.9969504,138.4
SMA_session_24__set_3_coil90deg.h5,pre,P180,4.4017606,216.6
SMA_session_24__set_3_coil90deg.h5,imagery,P30,2.8785617,40.0
SMA_session_24__set_3_coil90deg.h5,imagery,N45,3.258639,49.4
SMA_session_24__set_3_coil90deg.h5,imagery,P60,3.180438,50.0
SMA_session_24__set_3_coil90deg.h5,imagery,N100,4.313527,138.6
SMA_session_24__set_3_coil90deg.h5,imagery,P180,4.300698,199.6
SMA_session_24__set_3_coil90deg.h5,post,P30,0.0,20.0
SMA_session_24__set_3_coil90deg.h5,post,N45,0.0,35.0
SMA_session_24__set_3_coil90deg.h5,post,P60,0.0,50.0
SMA_session_24__set_3_coil90deg.h5,post,N100,0.0,80.0
SMA_session_24__set_3_coil90deg.h5,post,P180,0.0,150.0
SMA_session_24__set_4_coil0deg.h5,pre,P30,3.4965918,27.6
SMA_session_24__set_4_coil0deg.h5,pre,N45,3.803214,59.2
SMA_session_24__set_4_coil0deg.h5,pre,P60,3.9634964,61.8
SMA_session_24__set_4_coil0deg.h5,pre,N100,4.059346,115.8
SMA_session_24__set_4_coil0deg.h5,pre,P180,4.1885767,229.0
SMA_session_24__set_4_coil0deg.h5,imagery,P30,2.4538264,36.0
SMA_session_24__set_4_coil0deg.h5,imagery,N45,2.7479787,60.0
SMA_session_24__set_4_coil0deg.h5,imagery,P60,3.1914756,63.2
SMA_session_24__set_4_coil0deg.h5,imagery,N100,3.3655295,139.6
SMA_session_24__set_4_coil0deg.h5,imagery,P180,3.594407,162.6
SMA_session_24__set_4_coil0deg.h5,post,P30,0.0,20.0
SMA_session_24__set_4_coil0deg.h5,post,N45,0.0,35.0
SMA_session_24__set_4_coil0deg.h5,post,P60,0.0,50.0
SMA_session_24__set_4_coil0deg.h5,post,N100,0.0,80.0
SMA_session_24__set_4_coil0deg.h5,post,P180,0.0,150.0
SMA_session_25__set_4_coil90deg.h5,pre,P30,4.2104263,24.2
SMA_session_25__set_4_coil90deg.h5,pre,N45,3.94818,60.0
SMA_session_25__set_4_coil90deg.h5,pre,P60,4.316345,62.2
SMA_session_25__set_4_coil90deg.h5,pre,N100,4.397028,129.2
SMA_session_25__set_4_coil90deg.h5,pre,P180,5.66824,218.6
SMA_session_25__set_4_coil90deg.h5,imagery,P30,3.3428507,22.8
SMA_session_25__set_4_coil90deg.h5,imagery,N45,3.3739238,44.4
SMA_session_25__set_4_coil90deg.h5,imagery,P60,3.3574088,65.6
SMA_session_25__set_4_coil90deg.h5,imagery,N100,5.2080135,118.8
SMA_session_25__set_4_coil90deg.h5,imagery,P180,5.7850714,219.0
SMA_session_25__set_4_coil90deg.h5,post,P30,0.0,20.0
SMA_session_25__set_4_coil90deg.h5,post,N45,0.0,35.0
SMA_session_25__set_4_coil90deg.h5,post,P60,0.0,50.0
SMA_session_25__set_4_coil90deg.h5,post,N100,0.0,80.0
SMA_session_25__set_4_coil90deg.h5,post,P180,0.0,150.0
SMA_session_25__set_5_coil0deg.h5,pre,P30,4.5366874,31.6
SMA_session_25__set_5_coil0deg.h5,pre,N45,4.285488,35.2
SMA_session_25__set_5_coil0deg.h5,pre,P60,2.7031562,50.0
SMA_session_25__set_5_coil0deg.h5,pre,N100,5.813792,132.6
SMA_session_25__set_5_coil0deg.h5,pre,P180,6.0335655,230.0
SMA_session_25__set_5_coil0deg.h5,imagery,P30,5.072119,40.0
SMA_session_25__set_5_coil0deg.h5,imagery,N45,6.9303613,46.2
SMA_session_25__set_5_coil0deg.h5,imagery,P60,6.1700554,50.0
SMA_session_25__set_5_coil0deg.h5,imagery,N100,4.292992,129.0
SMA_session_25__set_5_coil0deg.h5,imagery,P180,4.8476744,197.6
SMA_session_25__set_5_coil0deg.h5,post,P30,0.0,20.0
SMA_session_25__set_5_coil0deg.h5,post,N45,0.0,35.0
SMA_session_25__set_5_coil0deg.h5,post,P60,0.0,50.0
SMA_session_25__set_5_coil0deg.h5,post,N100,0.0,80.0
SMA_session_25__set_5_coil0deg.h5,post,P180,0.0,150.0
SMA_session_26__set_4_coil90deg.h5,pre,P30,4.155208,35.0
SMA_session_26__set_4_coil90deg.h5,pre,N45,4.155208,35.0
SMA_session_26__set_4_coil90deg.h5,pre,P60,2.7167554,55.6
SMA_session_26__set_4_coil90deg.h5,pre,N100,3.922904,135.8
SMA_session_26__set_4_coil90deg.h5,pre,P180,3.7785816,183.6
SMA_session_26__set_4_coil90deg.h5,imagery,P30,3.329515,38.2
SMA_session_26__set_4_coil90deg.h5,imagery,N45,3.329515,38.2
SMA_session_26__set_4_coil90deg.h5,imagery,P60,2.6975503,50.8
SMA_session_26__set_4_coil90deg.h5,imagery,N100,3.0627053,96.0
SMA_session_26__set_4_coil90deg.h5,imagery,P180,3.1849346,219.8
SMA_session_26__set_4_coil90deg.h5,post,P30,0.0,20.0
SMA_session_26__set_4_coil90deg.h5,post,N45,0.0,35.0
SMA_session_26__set_4_coil90deg.h5,post,P60,0.0,50.0
SMA_session_26__set_4_coil90deg.h5,post,N100,0.0,80.0
SMA_session_26__set_4_coil90deg.h5,post,P180,0.0,150.0
SMA_session_26__set_5_coil0deg.h5,pre,P30,4.36457,29.2
SMA_session_26__set_5_coil0deg.h5,pre,N45,3.3517323,35.0
SMA_session_26__set_5_coil0deg.h5,pre,P60,2.4229684,50.0
SMA_session_26__set_5_coil0deg.h5,pre,N100,3.457787,97.6
SMA_session_26__set_5_coil0deg.h5,pre,P180,4.0067368,188.8
SMA_session_26__set_5_coil0deg.h5,imagery,P30,2.7887619,31.8
SMA_session_26__set_5_coil0deg.h5,imagery,N45,2.4278631,35.0
SMA_session_26__set_5_coil0deg.h5,imagery,P60,2.1980302,76.6
SMA_session_26__set_5_coil0deg.h5,imagery,N100,2.7188125,117.6
SMA_session_26__set_5_coil0deg.h5,imagery,P180,2.9038334,191.6
SMA_session_26__set_5_coil0deg.h5,post,P30,0.0,20.0
SMA_session_26__set_5_coil0deg.h5,post,N45,0.0,35.0
SMA_session_26__set_5_coil0deg.h5,post,P60,0.0,50.0
SMA_session_26__set_5_coil0deg.h5,post,N100,0.0,80.0
SMA_session_26__set_5_coil0deg.h5,post,P180,0.0,150.0
