subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
07IK,42,real,M1_AP,rest,p60,55.0,70.0,7.663263749058047,7.663263749058047,55.26666666666667,8.043504774570465,55.0,42,3,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,rest,n100,80.0,120.0,14.036611150900525,-14.036611150900525,116.06666666666668,-14.092097415924073,115.60000000000002,10,3,CP1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n20,10.0,25.0,15.185768383344014,-15.185768383344014,10.399999999999997,-15.639906888008118,10.0,42,3,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,p30,20.0,40.0,11.75187534014384,11.75187534014384,30.600000000000005,11.850460023880006,30.600000000000023,42,3,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n45,40.0,55.0,5.776600870937109,-5.776600870937109,51.33333333333335,-5.819374135434628,49.60000000000002,46,3,AF4,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,p60,55.0,70.0,6.538438492097581,6.538438492097581,56.06666666666666,6.713823493830859,55.80000000000001,50,3,CPz,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,onset,n100,80.0,120.0,4.498051256587108,-4.498051256587108,93.60000000000001,-4.544094477593899,86.0,31,3,TP10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n20,10.0,25.0,16.052587218284607,-16.052587218284607,10.266666666666671,-16.795916705131532,10.0,42,3,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,p30,20.0,40.0,7.593833758775145,7.593833758775145,29.19999999999999,7.734882153272629,29.0,42,3,C1,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n45,40.0,55.0,5.801193914512793,-5.801193914512793,51.73333333333333,-6.056745693385601,53.60000000000002,27,3,FT10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
