subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
04KK,39,real,M1_AP,rest,p60,55.0,70.0,9.656263492008051,9.656263492008051,55.333333333333336,9.755880032777787,55.0,61,3,AF8,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
04KK,39,real,M1_AP,rest,n100,80.0,120.0,9.671425059735775,-9.671425059735775,88.73333333333333,-9.728910247087478,89.19999999999999,38,3,CP3,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
04KK,39,real,M1_AP,onset,n20,10.0,25.0,15.00665473620097,-15.00665473620097,10.199999999999989,-15.623144598007203,10.0,9,3,C3,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
04KK,39,real,M1_AP,onset,p30,20.0,40.0,12.780607409477234,12.780607409477234,32.466666666666676,12.915532796382903,38.80000000000001,58,3,FC4,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
04KK,39,real,M1_AP,onset,n45,40.0,55.0,11.489394385516642,-11.489394385516642,47.133333333333326,-11.596871255338192,47.19999999999999,13,3,FC1,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
04KK,39,real,M1_AP,onset,p60,55.0,70.0,5.023153841421008,5.023153841421008,60.933333333333316,5.107457414343953,60.39999999999998,38,3,CP3,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
04KK,39,real,M1_AP,onset,n100,80.0,120.0,9.220610715945561,-9.220610715945561,86.0,-9.312852106094361,86.60000000000002,9,3,C3,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
04KK,39,real,M1_AP,after,n20,10.0,25.0,16.330922355651857,-16.330922355651857,10.266666666666671,-17.173535766601564,10.0,9,3,C3,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
04KK,39,real,M1_AP,after,p30,20.0,40.0,13.116977653006712,13.116977653006712,38.33333333333335,13.151766700446606,38.80000000000001,58,3,FC4,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
04KK,39,real,M1_AP,after,n45,40.0,55.0,12.562526614665984,-12.562526614665984,47.4,-12.719990627765656,47.19999999999999,13,3,FC1,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
