subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
14AL,58,real,M1_AP,rest,p60,55.0,70.0,10.9024325915426,10.9024325915426,67.26666666666667,11.473609556555749,68.39999999999998,12,3,Fp1,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,rest,n100,80.0,120.0,16.271634909709295,-16.271634909709295,109.46666666666665,-17.105436196327208,109.19999999999999,8,3,P3,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,onset,n20,10.0,25.0,10.880699189007283,-10.880699189007283,10.666666666666666,-12.586364769935608,10.800000000000011,42,3,C1,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,onset,p30,20.0,40.0,7.429434015154839,7.429434015154839,30.73333333333333,7.961184095293284,34.0,10,3,CP1,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,onset,n45,40.0,55.0,8.10294690089921,-8.10294690089921,51.79999999999999,-8.836995021402835,52.60000000000002,47,3,Fpz,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,onset,p60,55.0,70.0,7.468115840529403,7.468115840529403,56.53333333333334,8.44331764727831,56.60000000000002,11,3,O1,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,onset,n100,80.0,120.0,5.124124320968986,-5.124124320968986,118.19999999999999,-5.315913729742169,118.0,62,3,FT8,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,after,n20,10.0,25.0,8.316709142327309,-8.316709142327309,12.266666666666671,-9.64162956237793,10.600000000000023,42,3,C1,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,after,p30,20.0,40.0,8.436089742357533,8.436089742357533,22.466666666666658,10.342776262164115,20.600000000000023,48,3,FCz,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,after,n45,40.0,55.0,5.3407435249257835,-5.3407435249257835,42.133333333333326,-5.9061696735676374,40.39999999999998,11,3,O1,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
