subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
09TI,55,real,M1_AP,rest,p60,55.0,70.0,3.3651629996299746,3.3651629996299746,57.13333333333335,4.102699764370918,55.60000000000002,12,3,Fp1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,n100,80.0,120.0,5.064259084016085,-5.064259084016085,105.26666666666667,-5.117795386314392,102.80000000000001,20,3,O2,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,n20,10.0,25.0,7.823156272272269,-7.823156272272269,11.066666666666682,-8.372914992272854,11.0,10,3,CP1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,p30,20.0,40.0,9.17217169692119,9.17217169692119,27.799999999999994,9.940380146205426,28.19999999999999,11,3,O1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,n45,40.0,55.0,6.48480953057607,-6.48480953057607,41.20000000000001,-7.070515426397324,41.0,16,3,Cz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,p60,55.0,70.0,7.419164256180326,7.419164256180326,67.46666666666665,7.565237431824207,67.19999999999999,20,3,O2,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,n100,80.0,120.0,4.809698768680295,-4.809698768680295,82.93333333333334,-5.13673476934433,81.80000000000001,17,3,FC2,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n20,10.0,25.0,10.145363083382447,-10.145363083382447,13.866666666666674,-10.685502415895462,15.600000000000023,11,3,O1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,p30,20.0,40.0,5.457346305847167,5.457346305847167,35.0,5.596937048435211,28.600000000000023,11,3,O1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n45,40.0,55.0,5.219755303213994,-5.219755303213994,41.53333333333334,-5.580565857887268,40.19999999999999,10,3,CP1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,p60,55.0,70.0,4.3184986857821555,4.3184986857821555,67.33333333333333,4.3580880024284125,65.60000000000002,23,3,P4,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n100,80.0,120.0,4.541274884442488,-4.541274884442488,82.33333333333333,-4.789366815984249,84.19999999999999,17,3,FC2,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,PPC_L,rest,n20,10.0,25.0,4.373751447598139,-4.373751447598139,16.53333333333332,-4.544731341600418,15.399999999999977,62,3,FT8,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,rest,p30,20.0,40.0,4.463352270722389,4.463352270722389,37.46666666666666,4.584817008972168,38.19999999999999,36,3,C5,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,rest,n45,40.0,55.0,3.1522914306322734,-3.1522914306322734,41.666666666666664,-3.3209634757041933,41.0,57,3,CP4,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,rest,p60,55.0,70.0,5.8794652445117634,5.8794652445117634,66.19999999999999,6.426775414645672,67.0,31,3,TP10,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,rest,n100,80.0,120.0,5.608019402821859,-5.608019402821859,87.53333333333335,-5.638783311843872,88.80000000000001,44,3,AF3,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,onset,n20,10.0,25.0,2.797059722741445,-2.797059722741445,13.666666666666666,-2.8361036944389344,12.600000000000023,63,3,TP8,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,onset,p30,20.0,40.0,2.9540484790007273,2.9540484790007273,31.26666666666667,3.271036502122879,31.0,38,3,CP3,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,onset,n45,40.0,55.0,2.845985673777759,-2.845985673777759,49.26666666666667,-2.9029977640882136,48.80000000000001,25,3,FC6,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,onset,p60,55.0,70.0,5.7164478391408915,5.7164478391408915,69.33333333333336,6.06135592341423,69.60000000000002,40,3,PO3,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,onset,n100,80.0,120.0,6.318015631635984,-6.318015631635984,99.66666666666667,-6.549646510779858,119.0,61,3,AF8,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,after,n20,10.0,25.0,2.985753279129664,-2.985753279129664,23.0,-3.3372668659687044,23.19999999999999,15,3,Fp2,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,after,p30,20.0,40.0,3.7254118937253953,3.7254118937253953,36.53333333333334,4.109563176631927,31.19999999999999,31,3,TP10,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,after,n45,40.0,55.0,6.365464756488801,-6.365464756488801,53.466666666666676,-6.674025104045868,52.80000000000001,12,3,Fp1,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,after,p60,55.0,70.0,7.062429356276989,7.062429356276989,65.66666666666667,7.148459091186523,62.60000000000002,54,3,PO8,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,after,n100,80.0,120.0,8.815049482584,-8.815049482584,108.46666666666665,-8.95419734954834,107.19999999999999,61,3,AF8,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,MI,M1_PA,rest,n20,10.0,25.0,4.275511631121238,-4.275511631121238,11.133333333333345,-5.475470608696342,10.199999999999989,25,3,FC6,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,rest,p30,20.0,40.0,4.504060638745625,4.504060638745625,35.73333333333335,4.659784803390503,34.80000000000001,5,3,F7,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,rest,n45,40.0,55.0,4.368677967737118,-4.368677967737118,42.066666666666684,-5.009897920265794,40.80000000000001,10,3,CP1,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,rest,p60,55.0,70.0,4.128226356903712,4.128226356903712,61.666666666666664,4.15788771033287,62.39999999999998,29,3,P8,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,rest,n100,80.0,120.0,3.6150855886439484,-3.6150855886439484,88.0,-3.8374298401921987,87.39999999999998,48,3,FCz,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,onset,n20,10.0,25.0,3.03436742067337,-3.03436742067337,19.333333333333332,-3.488719139844179,10.199999999999989,45,3,F1,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,onset,p30,20.0,40.0,7.244243638217449,7.244243638217449,36.20000000000001,7.575212334692478,33.60000000000002,15,3,Fp2,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,onset,n45,40.0,55.0,4.166197043657303,-4.166197043657303,50.06666666666666,-4.323015522956848,48.80000000000001,0,3,T7,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,onset,p60,55.0,70.0,7.333386088361343,7.333386088361343,63.06666666666664,7.434470620155334,62.39999999999998,15,3,Fp2,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,onset,n100,80.0,120.0,5.3391711314767605,-5.3391711314767605,109.2,-5.767712555527687,105.80000000000001,16,3,Cz,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,after,n20,10.0,25.0,4.887109016850591,-4.887109016850591,23.666666666666668,-5.410335793495178,23.0,15,3,Fp2,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,after,p30,20.0,40.0,3.170990337704619,3.170990337704619,23.73333333333335,3.604779754281044,22.600000000000023,38,3,CP3,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,after,n45,40.0,55.0,4.086725793909282,-4.086725793909282,46.26666666666667,-4.308439772818238,46.80000000000001,61,3,AF8,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,after,p60,55.0,70.0,5.020096081296603,5.020096081296603,69.73333333333335,5.301715724170208,69.80000000000001,41,3,PO7,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_PA,after,n100,80.0,120.0,5.251508516073227,-5.251508516073227,81.26666666666667,-5.692855849266052,81.0,61,3,AF8,session_55__set_4__cleaned_SOUND.mat; session_55__set_8__cleaned_SOUND.mat,03_09TI_M1_PA_30MSO_MI.hdf5; 07_09TI_M1_PA_30MSO_MI.hdf5
09TI,55,MI,M1_AP,rest,n20,10.0,25.0,6.5381514614075416,-6.5381514614075416,12.133333333333345,-6.943711467161775,10.600000000000023,52,3,POz,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,rest,p30,20.0,40.0,5.244076054493586,5.244076054493586,36.26666666666667,5.284530510902405,39.80000000000001,12,3,Fp1,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,rest,n45,40.0,55.0,7.120880505243936,-7.120880505243936,42.333333333333336,-7.56651220202446,42.19999999999999,16,3,Cz,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,rest,p60,55.0,70.0,6.4128537988166014,6.4128537988166014,56.06666666666666,6.601794220805168,55.19999999999999,12,3,Fp1,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
