subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
01AV,38,real,M1_AP,rest,p60,55.0,70.0,6.279227389345567,6.279227389345567,67.13333333333334,6.386575359553099,69.80000000000001,15,3,Fp2,session_38__set_3__cleaned_SOUND.mat; session_38__set_7__cleaned_SOUND.mat,03_01AV_M1_AP_43MSO_real.h5; 07_01AV_M1_AP_43MSO_real.hdf5
01AV,38,real,M1_AP,rest,n100,80.0,120.0,11.643505244851113,-11.643505244851113,101.19999999999999,-11.670230380296708,101.80000000000001,9,3,C3,session_38__set_3__cleaned_SOUND.mat; session_38__set_7__cleaned_SOUND.mat,03_01AV_M1_AP_43MSO_real.h5; 07_01AV_M1_AP_43MSO_real.hdf5
01AV,38,real,M1_AP,onset,n20,10.0,25.0,5.297940062681834,-5.297940062681834,15.266666666666652,-5.579811930656433,18.399999999999977,9,3,C3,session_38__set_3__cleaned_SOUND.mat; session_38__set_7__cleaned_SOUND.mat,03_01AV_M1_AP_43MSO_real.h5; 07_01AV_M1_AP_43MSO_real.hdf5
01AV,38,real,M1_AP,onset,p30,20.0,40.0,5.6756586440528425,5.6756586440528425,29.600000000000005,5.736327354907989,29.0,10,3,CP1,session_38__set_3__cleaned_SOUND.mat; session_38__set_7__cleaned_SOUND.mat,03_01AV_M1_AP_43MSO_real.h5; 07_01AV_M1_AP_43MSO_real.hdf5
01AV,38,real,M1_AP,onset,n45,40.0,55.0,4.865208526998759,-4.865208526998759,50.666666666666664,-4.9716525197029116,50.60000000000002,4,3,FT9,session_38__set_3__cleaned_SOUND.mat; session_38__set_7__cleaned_SOUND.mat,03_01AV_M1_AP_43MSO_real.h5; 07_01AV_M1_AP_43MSO_real.hdf5
01AV,38,real,M1_AP,onset,p60,55.0,70.0,5.780019962737957,5.780019962737957,55.333333333333336,5.7997671879827974,55.39999999999998,20,3,O2,session_38__set_3__cleaned_SOUND.mat; session_38__set_7__cleaned_SOUND.mat,03_01AV_M1_AP_43MSO_real.h5; 07_01AV_M1_AP_43MSO_real.hdf5
01AV,38,real,M1_AP,onset,n100,80.0,120.0,6.338906284471353,-6.338906284471353,96.39999999999999,-6.401502516269684,96.60000000000002,48,3,FCz,session_38__set_3__cleaned_SOUND.mat; session_38__set_7__cleaned_SOUND.mat,03_01AV_M1_AP_43MSO_real.h5; 07_01AV_M1_AP_43MSO_real.hdf5
01AV,38,real,M1_AP,after,n20,10.0,25.0,6.251286151309809,-6.251286151309809,20.26666666666667,-6.356108486354351,20.0,20,3,O2,session_38__set_3__cleaned_SOUND.mat; session_38__set_7__cleaned_SOUND.mat,03_01AV_M1_AP_43MSO_real.h5; 07_01AV_M1_AP_43MSO_real.hdf5
01AV,38,real,M1_AP,after,p30,20.0,40.0,5.9852895735080045,5.9852895735080045,38.6,6.255017575137317,38.80000000000001,34,3,AF7,session_38__set_3__cleaned_SOUND.mat; session_38__set_7__cleaned_SOUND.mat,03_01AV_M1_AP_43MSO_real.h5; 07_01AV_M1_AP_43MSO_real.hdf5
01AV,38,real,M1_AP,after,n45,40.0,55.0,5.198954919924339,-5.198954919924339,46.26666666666669,-5.527169478535652,45.60000000000002,16,3,Cz,session_38__set_3__cleaned_SOUND.mat; session_38__set_7__cleaned_SOUND.mat,03_01AV_M1_AP_43MSO_real.h5; 07_01AV_M1_AP_43MSO_real.hdf5
01AV,38,real,M1_AP,after,p60,55.0,70.0,11.117517762482166,11.117517762482166,55.19999999999999,11.20022223263979,55.0,20,3,O2,session_38__set_3__cleaned_SOUND.mat; session_38__set_7__cleaned_SOUND.mat,03_01AV_M1_AP_43MSO_real.h5; 07_01AV_M1_AP_43MSO_real.hdf5
